MapNumber,IsOverworld,IsUnderworld,IsSmallMap,X,Y,Z,SpriteNum,SpriteName
30,FALSE,FALSE,TRUE,13,25,0,5,Grass
30,FALSE,FALSE,TRUE,17,25,0,5,Grass
30,FALSE,FALSE,TRUE,23,13,0,68,BrickFloor
30,FALSE,FALSE,TRUE,23,15,0,68,BrickFloor
30,FALSE,FALSE,TRUE,14,7,1,68,BrickFloor
30,FALSE,FALSE,TRUE,16,7,1,68,BrickFloor
30,FALSE,FALSE,TRUE,20,15,2,68,BrickFloor
30,FALSE,FALSE,TRUE,23,15,2,68,BrickFloor
3,FALSE,FALSE,TRUE,13,12,0,5,Grass
3,FALSE,FALSE,TRUE,17,12,0,5,Grass
3,FALSE,FALSE,TRUE,17,12,1,5,Grass
