Index,Location
0,Britain
1,Jhelom
2,Yew
3,Minoc
4,Trinsic
5,Lord_Britishs_Castle
6,Buccaneers_Den
7,Bordermarch
8,Buccaneers_Den
9,Moonglow
10,Britain
11,Jhelom
12,Yew
13,New_Magincia
14,West_Britanny
15,Paws
16,Buccaneers_Den
17,Lycaeum
18,Trinsic
19,Paws
20,North_Britanny
21,Jhelom
22,Minoc
23,East_Britanny
24,Buccaneers_Den
25,Moonglow
26,Yew
27,Skara_Brae
28,Cove
29,Lycaeum
30,New_Magincia
31,Paws
32,Buccaneers_Den
33,Minoc
34,Trinsic
35,Skara_Brae
36,East_Britanny
37,Cove
38,Lycaeum
39,Empath_Abbey
40,Britain
41,Jhelom
42,Skara_Brae
43,North_Britanny
44,Paws
45,Buccaneers_Den
